regime,variant,r,stage1_kernel,stage1_label,n_selected
same_mean_diff_covariance,MY-small_mu,8,rbf,rbf(gamma=0.00152749548677943),1
same_mean_diff_covariance,MY-small_mu,10,laplacian,laplacian(gamma=0.0015153536519245177),1
same_mean_diff_covariance,MY-small_mu,10,linear,linear,1
same_mean_diff_covariance,MY-small_mu,10,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.001517371612859597)",1
same_mean_diff_covariance,MY-small_mu,12,laplacian,laplacian(gamma=0.0015153536519245177),1
same_mean_diff_covariance,MY-small_mu,12,rbf,rbf(gamma=0.001517371612859597),1
same_mean_diff_covariance,MY-small_mu,12,rbf,rbf(gamma=0.00152749548677943),1
same_mean_diff_covariance,MY-small_mu,14,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0015153536519245177)",1
same_mean_diff_covariance,MY-small_mu,14,sigmoid,"sigmoid(coef0=0.0, gamma=0.001517371612859597)",1
same_mean_diff_covariance,MY-small_mu,14,sigmoid,"sigmoid(coef0=0.0, gamma=0.00152749548677943)",1
same_mean_diff_covariance,MY-small_mu,16,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015153536519245177)",1
same_mean_diff_covariance,MY-small_mu,16,sigmoid,"sigmoid(coef0=0.0, gamma=0.001517371612859597)",1
same_mean_diff_covariance,MY-small_mu,16,sigmoid,"sigmoid(coef0=0.0, gamma=0.00152749548677943)",1
same_mean_diff_covariance,MY-small_mu,20,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015153536519245177)",1
same_mean_diff_covariance,MY-small_mu,20,sigmoid,"sigmoid(coef0=0.0, gamma=0.001517371612859597)",1
same_mean_diff_covariance,MY-small_mu,20,sigmoid,"sigmoid(coef0=0.0, gamma=0.00152749548677943)",1
same_mean_diff_covariance,MY-small_mu,24,rbf,rbf(gamma=0.0015153536519245177),1
same_mean_diff_covariance,MY-small_mu,24,rbf,rbf(gamma=0.001517371612859597),1
same_mean_diff_covariance,MY-small_mu,24,sigmoid,"sigmoid(coef0=0.0, gamma=0.00152749548677943)",1
same_mean_diff_covariance,MY-small_mu,28,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015153536519245177)",1
same_mean_diff_covariance,MY-small_mu,28,sigmoid,"sigmoid(coef0=0.0, gamma=0.001517371612859597)",1
same_mean_diff_covariance,MY-small_mu,28,sigmoid,"sigmoid(coef0=0.0, gamma=0.00152749548677943)",1
same_mean_diff_covariance,MY-small_mu,32,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015153536519245177)",1
same_mean_diff_covariance,MY-small_mu,32,sigmoid,"sigmoid(coef0=0.0, gamma=0.001517371612859597)",1
same_mean_diff_covariance,MY-small_mu,32,sigmoid,"sigmoid(coef0=0.0, gamma=0.00152749548677943)",1
